nome;citta;paese;anno;superficie_mq;tipologia;problema;interventi;costo_milioni;finanziamento;benefici_sociali;benefici_economici;sostenibilita
Tango District;Buenos Aires;Argentina;2022;15000;quartiere culturale;Degrado urbano;spazi performativi, scuole danza, hub creativi;30;fondi cultura + privati;conservazione tradizioni, inclusione sociale;+40% turismo culturale, +25% attività artistiche;retrofit energetico, materiali locali
Sucre Revival;La Paz;Bolivia;2020;15000;quartiere coloniale;Degrado centro storico;restauro edifici, spazi pubblici, formazione artigiani;35;fondi UNESCO + municipali;conservazione patrimonio, capacità artigianali;+40% turismo culturale, +100 artigiani formati;tecniche tradizionali, materiali locali
Valletta Waterfront;Valletta;Malta;2020;12000;fronte mare;Degrado portuale;restauro edifici storici, spazi pubblici, hub culturali;30;fondi UE + privati;accessibilità waterfront, offerta culturale;+35% turismo, +25% attività commerciali;restauro sostenibile, efficienza energetica
Habana Vieja 2.0;L'Avana;Cuba;2021;20000;centro storico;Degrado edifici patrimonio;restauro adattivo, spazi comunitari, hub artistici;35;fondi UNESCO + cooperazione;conservazione patrimonio, inclusione sociale;+30% turismo, +150 artigiani attivi;tecniche tradizionali, materiali locali
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali
Green Oasis;Nairobi;Kenya;2025;30000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;20;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Revive Dhaka;Dhaka;Bangladesh;2024;15000;quartiere residenziale;Edifici abbandonati post-inondazioni;housing sociale, spazi comunitari, aree verdi;35;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Slum Upgrade;Lagos;Nigeria;2025;50000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;110;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-40% danni climatici, +25% valore immobiliare;materiali locali, sistemi passivi
Heritage Revival;Kathmandu;Nepal;2024;10000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;25;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+20% turismo, +10% attività artigianali;tecniche tradizionali, materiali locali
Urban Green;Lusaka;Zambia;2025;20000;parco urbano;Terreno industriale abbandonato;spazi verdi, aree gioco, percorsi ciclabili;15;fondi africani sviluppo + comunali;miglioramento qualità della vita, spazi ricreativi;+5% valore immobiliare, +3% attività locali;materiali riciclati, illuminazione solare
Revitalize Kigali;Kigali;Ruanda;2024;25000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;40;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+20% residenti, +15% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Park;Addis Abeba;Etiopia;2025;35000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;25;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Historic Revival;Yangon;Myanmar;2024;12000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;30;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+25% turismo, +15% attività artigianali;tecniche tradizionali, materiali locali
Green Hub;Kampala;Uganda;2025;18000;quartiere sostenibile;Terreno industriale abbandonato;housing sostenibile, spazi verdi, hub comunitari;22;fondi africani sviluppo + privati;alloggi sicuri, inclusione sociale;+10% valore immobiliare, +8% attività commerciali;materiali locali, tecniche di costruzione resilienti
Revive Monrovia;Monrovia;Liberia;2024;15000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;28;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-District;Maputo;Mozambico;2025;30000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;45;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-35% danni climatici, +20% valore immobiliare;materiali locali, sistemi passivi
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali
Green Oasis;Phnom Penh;Cambogia;2025;20000;parco urbano;Terreno industriale abbandonato;spazi verdi, aree gioco, percorsi ciclabili;18;fondi asiatici sviluppo + comunali;miglioramento qualità della vita, spazi ricreativi;+5% valore immobiliare, +3% attività locali;materiali riciclati, illuminazione solare
Revitalize Port-au-Prince;Port-au-Prince;Haiti;2024;15000;quartiere residenziale;Edifici abbandonati post-terremoto;housing sociale, spazi comunitari, aree verdi;30;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-Park;Dar es Salaam;Tanzania;2025;25000;parco urbano;Discarica abbandonata;spazi verdi, orti comunitari, percorsi pedonali;22;fondi africani sviluppo + donazioni;miglioramento qualità dell'aria, spazi ricreativi;+10% valore immobiliare, +5% attività locali;materiali riciclati, irrigazione a basso consumo
Historic Revival;Luang Prabang;Laos;2024;10000;quartiere storico;Degrado edifici patrimonio;restauro conservativo, spazi pubblici, hub culturali;20;fondi UNESCO + donazioni;conservazione patrimonio, vivibilità;+20% turismo, +10% attività artigianali;tecniche tradizionali, materiali locali
Green Hub;Kigali;Ruanda;2025;18000;quartiere sostenibile;Terreno industriale abbandonato;housing sostenibile, spazi verdi, hub comunitari;25;fondi africani sviluppo + privati;alloggi sicuri, inclusione sociale;+10% valore immobiliare, +8% attività commerciali;materiali locali, tecniche di costruzione resilienti
Revive Monrovia;Monrovia;Liberia;2024;15000;quartiere residenziale;Edifici abbandonati post-conflitto;housing sociale, spazi comunitari, aree verdi;28;fondi internazionali + privati;alloggi sicuri, inclusione sociale;+15% residenti, +10% attività commerciali;materiali locali, tecniche di costruzione resilienti
Eco-District;Maputo;Mozambico;2025;30000;quartiere sostenibile;Urbanizzazione informale e inondazioni;housing sostenibile, gestione acque, spazi pubblici;45;fondi africani sviluppo + privati;alloggi sicuri, resilienza climatica;-35% danni climatici, +20% valore immobiliare;materiali locali, sistemi passivi
Heritage Corridor;Varanasi;India;2023;22000;quartiere storico;Degrado edifici patrimonio;restauro ghats, spazi pubblici, gestione turismo;40;fondi UNESCO + privati;conservazione patrimonio, vivibilità;+35% turismo sostenibile, +20% artigianato locale;restauro sostenibile, materiali tradizionali
